Number,Title,BodyLength,CreatedAt,ClosedAt,ReviewTimeHours,Additions,Deletions,ChangedFiles,Reviews,Comments,Participants
2,"Add AirBnB setting to jshint settings file.",0,24/12/2014 20:43:10,27/12/2014 06:16:17,57,551944444444445,100,1,2,0,2,3
7,"Refactor Passport/update FCC link",105,31/12/2014 05:35:50,20/01/2015 17:29:39,491,89694444444444,51,42,2,0,0,1
10,"Update Branden's Team Member Bio",342,09/01/2015 15:55:49,09/01/2015 18:58:45,3,048888888888889,2,2,1,0,0,2
12,"Pull request twitter pic",329,09/01/2015 20:25:01,10/01/2015 04:33:39,8,143888888888888,2,2,1,0,1,2
13,"Angularize login",120,10/01/2015 03:10:26,10/01/2015 04:31:13,1,3463888888888889,461,433,10,0,0,1
16,"Forgot password",0,10/01/2015 05:23:28,10/01/2015 18:56:01,13,5425,3,3,1,0,1,2
21,"Edit wording of jquery exercises",335,12/01/2015 19:31:28,13/01/2015 06:12:42,10,687222222222223,4,4,1,0,1,2
33,"Twitter auth",63,17/01/2015 22:46:48,18/01/2015 01:31:40,2,747777777777778,84485,194,413,0,1,1
34,"One column challenges",0,18/01/2015 00:50:02,18/01/2015 02:53:49,2,0630555555555556,84661,295,424,0,0,2
36,"Twitter auth and bonfire",43,18/01/2015 01:37:40,18/01/2015 02:53:26,1,2627777777777778,84485,194,413,0,0,2
38,"Update main.less",42,18/01/2015 04:04:45,21/01/2015 15:25:26,83,34472222222222,3,2,1,0,1,3
39,"Adding testing feature to bonfire",939,18/01/2015 07:59:04,21/01/2015 06:50:47,70,86194444444445,5049,4,3,0,1,1
41,"Added a title to bonfire for seo",65,18/01/2015 16:32:01,21/01/2015 15:22:46,70,84583333333333,2,1,1,0,0,2
50,"Changed Challenge Complete Tweet Auto Text: Fix for #49",897,24/01/2015 18:13:53,28/01/2015 20:08:47,97,915,2,2,1,0,0,1
58,"Use should.eql to compare arrays",313,28/01/2015 23:35:22,29/01/2015 02:57:40,3,3716666666666666,2,2,1,0,1,2
61,"Update bonfires.json with two new challenges",546,29/01/2015 06:27:28,06/02/2015 04:32:09,190,07805555555555,36,0,1,0,2,2
62,"Add Cash Register Challenge",453,29/01/2015 07:15:54,06/02/2015 04:33:30,189,29333333333332,20,0,1,0,5,3
66,"update bonfire URL on regex match if incomplete url",0,31/01/2015 01:45:17,01/02/2015 01:34:52,23,82638888888889,4,0,1,0,0,2
74,"Fixed routing if a user types bonfires/",123,04/02/2015 03:17:39,04/02/2015 05:39:54,2,370833333333333,5,2,1,0,0,1
77,"Update README with mongo server instructions",0,05/02/2015 04:46:06,06/02/2015 17:01:03,36,24916666666667,3,0,1,0,2,2
81,"Fix typo in Bonfire Challenge",39,05/02/2015 22:22:54,06/02/2015 02:06:36,3,7283333333333335,1,1,1,0,0,2
85,"Fix typos",202,09/02/2015 16:18:14,11/02/2015 17:19:25,49,01972222222222,547,89,5,0,0,2
86,"Add 18 new bonfire challenges",311,10/02/2015 05:29:29,13/02/2015 13:54:05,80,41,280,0,1,0,0,2
88,"Check for Palindromes: Removed redundancy from description",58,11/02/2015 06:22:56,11/02/2015 16:36:18,10,222777777777777,2,3,1,0,0,2
90,"Fix a typo in README",0,11/02/2015 19:49:05,13/02/2015 05:13:23,33,405,1,1,1,0,0,2
91,"Added Moment.js library and time logic to next Live session",0,12/02/2015 07:09:53,13/02/2015 04:44:27,21,57611111111111,3071,1,4,0,2,2
92,"Typos",0,12/02/2015 12:10:05,12/02/2015 16:19:45,4,161111111111111,6,6,1,0,0,2
93,"Typos",0,12/02/2015 13:03:50,14/02/2015 11:38:59,46,58583333333333,49,33,1,0,2,2
94,"Typos",35,14/02/2015 05:49:04,14/02/2015 11:33:07,5,734166666666667,49,33,1,0,0,2
95,"Fixed grammar",63,14/02/2015 14:21:45,15/02/2015 07:40:43,17,316111111111113,2,2,1,0,2,2
97,"Bonfire typos fixes",0,14/02/2015 22:09:12,15/02/2015 01:39:32,3,5055555555555555,10,9,1,0,0,2
99,"Bonfire fixes",0,15/02/2015 01:58:15,15/02/2015 07:36:22,5,635277777777778,16,2,1,0,0,2
102,"Ramda fire",22,16/02/2015 05:52:10,16/02/2015 20:23:46,14,526666666666667,14,2,2,0,0,1
104,"Fix 'Cash Register' bonfire bug. Closes #103",0,16/02/2015 07:03:31,16/02/2015 15:23:02,8,325277777777778,1,1,1,0,0,2
106,"Fix 'Inventory Update' bonfire. Closes #105",0,16/02/2015 16:37:25,17/02/2015 20:36:15,27,980555555555554,8,8,1,0,0,2
109,"Ux improvements",0,20/02/2015 00:34:12,20/02/2015 02:14:44,1,6755555555555555,164,152,12,0,0,1
110,"Ramda fire",49,21/02/2015 06:07:41,21/02/2015 09:19:16,3,1930555555555555,28,2,7,0,0,2
