Nome,NomeCompleto,Descrição,URL,Stars,Forks,Criado Em,Última Atualização,Linguagem,Issues Totais,Issues Fechadas,PRs,Releases,Commits,Engajamento
"platform_frameworks_base","aosp-mirror/platform_frameworks_base","",https://github.com/aosp-mirror/platform_frameworks_base,10769,6395,2008-10-21 18:20:37,2025-09-30 05:32:01,"Java",0,0,1,0,1064617,1064618
"intellij-community","JetBrains/intellij-community","IntelliJ IDEA & IntelliJ Platform",https://github.com/JetBrains/intellij-community,18970,5566,2011-09-30 13:33:05,2025-09-30 10:40:34,"Java",0,0,108,5,492118,492226
"elasticsearch","elastic/elasticsearch","Free and Open Source, Distributed, RESTful Search Engine",https://github.com/elastic/elasticsearch,74884,25518,2010-02-08 13:20:56,2025-09-30 10:57:54,"Java",41144,36754,82157,210,90284,209195
"vespa","vespa-engine/vespa","AI + Data, online. https://vespa.ai",https://github.com/vespa-engine/vespa,6376,659,2016-06-03 20:54:20,2025-09-30 03:23:32,"Java",1118,914,32358,241,92024,125296
"OsmAnd","osmandapp/OsmAnd","OsmAnd",https://github.com/osmandapp/OsmAnd,5334,1097,2011-01-15 19:59:44,2025-09-30 10:03:15,"Java",13524,10313,7493,1,104134,121940
"camunda","camunda/camunda","Process Orchestration Framework",https://github.com/camunda/camunda,3813,692,2016-03-20 03:38:04,2025-09-30 11:09:19,"Java",12669,10536,23313,472,81420,115269
"graal","oracle/graal","GraalVM compiles applications into native executables that start instantly, scale fast, and use fewer compute resources 🚀",https://github.com/oracle/graal,21129,1745,2016-01-14 17:11:35,2025-09-30 10:53:12,"Java",4476,3816,5887,32,92317,102020
"spring-boot","spring-projects/spring-boot","Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",https://github.com/spring-projects/spring-boot,78567,41539,2012-10-19 15:02:57,2025-09-30 06:07:19,"Java",39640,39089,42,323,57337,96468
"quarkus","quarkusio/quarkus","Quarkus: Supersonic Subatomic Java. ",https://github.com/quarkusio/quarkus,15008,2963,2018-07-06 00:44:20,2025-09-30 09:24:07,"Java",19484,17050,24194,421,54822,96066
"neo4j","neo4j/neo4j","Graphs for Everyone",https://github.com/neo4j/neo4j,15142,2523,2012-11-12 08:46:15,2025-09-30 04:57:57,"Java",3840,3574,7936,72,81412,92922
"camel","apache/camel","Apache Camel is an open source integration framework that empowers you to quickly and easily integrate various systems consuming or producing data.",https://github.com/apache/camel,5976,5077,2009-05-21 00:25:36,2025-09-30 10:44:36,"Java",0,0,15595,0,76828,92423
"dragonwell8","dragonwell-project/dragonwell8","Alibaba Dragonwell8 JDK",https://github.com/dragonwell-project/dragonwell8,4291,501,2019-03-07 02:57:45,2025-09-27 08:10:45,"Java",499,341,171,42,91470,91982
"languagetool","languagetool-org/languagetool","Style and Grammar Checker for 25+ Languages",https://github.com/languagetool-org/languagetool,13612,1460,2013-08-08 16:37:22,2025-09-30 08:13:16,"Java",6037,4031,4690,0,80288,89009
"jdk","openjdk/jdk","JDK main-line development https://openjdk.org/projects/jdk",https://github.com/openjdk/jdk,21799,6251,2018-09-17 12:29:20,2025-09-30 10:41:25,"Java",0,0,14,0,85281,85295
"lawnchair","LawnchairLauncher/lawnchair","No clever tagline needed.",https://github.com/LawnchairLauncher/lawnchair,11224,1366,2017-03-03 13:12:58,2025-09-30 10:34:44,"Java",3972,3437,1472,30,80152,85061
"shardingsphere","apache/shardingsphere","Empowering Data Intelligence with Distributed SQL for Sharding, Scalability, and Security Across All Databases.",https://github.com/apache/shardingsphere,20470,6846,2016-01-18 12:49:26,2025-09-30 10:43:00,"Java",11708,11179,23152,58,46982,81313
"starrocks","StarRocks/starrocks","The world's fastest open query engine for sub-second analytics both on and off the data lakehouse. With the flexibility to support nearly any scenario, StarRocks provides best-in-class performance for multi-dimensional analytics, real-time analytics, and ad-hoc queries. A Linux Foundation project.",https://github.com/StarRocks/starrocks,10720,2150,2021-09-04 02:29:35,2025-09-30 10:38:01,"Java",8933,8439,45525,157,22154,76118
"doris","apache/doris","Apache Doris is an easy-to-use, high performance and unified analytics database.",https://github.com/apache/doris,14337,3565,2017-08-10 12:13:30,2025-09-30 09:50:46,"Java",8003,7713,40037,75,27938,75688
"OpenSearch","opensearch-project/OpenSearch","🔎 Open source distributed and RESTful search engine.",https://github.com/opensearch-project/OpenSearch,11637,2399,2021-01-29 22:10:00,2025-09-30 09:42:02,"Java",6850,4732,10099,59,59995,74826
"beam","apache/beam","Apache Beam is a unified programming model for Batch and Streaming data processing.",https://github.com/apache/beam,8307,4407,2016-02-02 08:00:06,2025-09-29 23:44:34,"Java",7906,3720,20335,53,45666,69721
