Nome,Descrição,URL,Stars,Forks,Criado Em,Última Atualização,Linguagem,Issues Totais,Issues Fechadas,PRs,Releases
"freeCodeCamp","freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer science for free.",https://github.com/freeCodeCamp/freeCodeCamp,425632,41168,2014-12-24 17:49:19,2025-08-13 02:16:15,"TypeScript",19797,19606,41114,0
"build-your-own-x","Master programming by recreating your favorite technologies from scratch.",https://github.com/codecrafters-io/build-your-own-x,409499,38389,2018-05-09 12:03:18,2025-08-13 02:15:21,"Markdown",814,594,478,0
"awesome","😎 Awesome lists about all kinds of interesting topics",https://github.com/sindresorhus/awesome,391125,31124,2014-07-11 13:42:37,2025-08-13 02:20:26,"",354,340,2175,0
"free-programming-books",":books: Freely available programming books",https://github.com/EbookFoundation/free-programming-books,364928,63894,2013-10-11 06:50:37,2025-08-13 01:33:36,"Python",1181,1150,10487,0
"public-apis","A collective list of free APIs",https://github.com/public-apis/public-apis,360949,37877,2016-03-20 23:49:42,2025-08-13 02:16:47,"Python",707,703,3547,0
"developer-roadmap","Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,333661,42554,2017-03-15 13:45:52,2025-08-13 01:43:18,"TypeScript",2937,2692,5330,1
"coding-interview-university","A complete computer science study plan to become a software engineer.",https://github.com/jwasham/coding-interview-university,324180,79846,2016-06-06 02:34:12,2025-08-13 02:20:04,"",516,453,1022,0
"system-design-primer","Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.",https://github.com/donnemartin/system-design-primer,315669,51759,2017-02-26 16:15:28,2025-08-13 02:20:46,"Python",339,91,602,0
"996.ICU","Repo for counting stars and contributing. Press F to pay respect to glorious developers.",https://github.com/996icu/996.ICU,273996,21073,2019-03-26 07:31:14,2025-08-13 02:05:49,"",0,0,1991,0
"awesome-python","An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,254724,26101,2014-06-27 21:00:06,2025-08-13 02:17:08,"Python",0,0,2057,0
"awesome-selfhosted","A list of Free Software network services and web applications which can be hosted on your own servers",https://github.com/awesome-selfhosted/awesome-selfhosted,241537,11187,2015-06-01 02:33:17,2025-08-13 02:15:56,"",806,806,3037,1
